session_id,visit_date,country,device_type,traffic_source,product_category_viewed,pages_viewed,time_on_site_minutes,added_to_cart,purchased,order_value_usd
1,2023-04-13,Australia,Mobile,Organic Search,Books,6,1.98,0,0,0.0
2,2023-11-05,UK,Mobile,Paid Ads,Fashion,5,5.01,0,0,0.0
3,2024-07-14,Australia,Mobile,Direct,Books,5,6.44,0,1,34.35
4,2024-04-29,Canada,Mobile,Referral,Beauty,4,4.8,1,0,0.0
5,2024-03-30,India,Mobile,Organic Search,Fashion,5,5.42,1,0,0.0
6,2024-07-19,USA,Tablet,Referral,Electronics,9,3.98,0,1,13.78
7,2023-07-07,Canada,Mobile,Direct,Books,4,7.16,1,1,123.82
8,2023-08-19,Australia,Tablet,Email,Fashion,7,7.9,0,0,0.0
9,2024-09-04,Germany,Tablet,Social Media,Electronics,6,9.45,1,0,0.0
10,2024-04-05,USA,Tablet,Email,Home,6,7.75,0,1,268.26
11,2023-08-31,UK,Mobile,Paid Ads,Home,9,4.6,0,0,0.0
12,2024-09-19,India,Mobile,Email,Electronics,5,5.34,1,0,0.0
13,2024-10-25,UK,Desktop,Referral,Home,9,3.85,0,0,0.0
14,2024-10-03,India,Tablet,Email,Sports,3,4.01,1,1,2.98
15,2023-09-04,India,Desktop,Organic Search,Sports,9,8.96,1,0,0.0
16,2023-11-22,UK,Tablet,Referral,Home,8,5.71,0,1,103.87
17,2024-04-17,Canada,Mobile,Direct,Electronics,5,6.03,0,1,88.14
18,2024-03-28,India,Tablet,Paid Ads,Home,10,6.59,0,0,0.0
19,2023-12-04,India,Mobile,Organic Search,Beauty,5,4.57,0,0,0.0
20,2024-05-18,UK,Desktop,Direct,Home,7,7.76,1,1,55.04
21,2023-10-11,USA,Desktop,Social Media,Fashion,7,5.98,0,1,77.0
22,2023-02-06,Australia,Desktop,Direct,Books,10,7.42,1,1,71.56
23,2023-10-15,Australia,Mobile,Referral,Books,5,6.9,0,0,0.0
24,2024-02-12,USA,Tablet,Direct,Fashion,11,9.56,1,0,0.0
25,2024-10-26,USA,Desktop,Email,Home,6,6.71,0,1,9.08
26,2024-09-11,Australia,Tablet,Referral,Fashion,3,10.78,1,1,7.24
27,2024-08-26,Australia,Desktop,Organic Search,Fashion,4,6.37,0,0,0.0
28,2024-10-02,India,Desktop,Email,Home,4,7.89,0,1,155.78
29,2024-03-22,India,Mobile,Referral,Books,5,5.32,0,0,0.0
30,2023-04-04,UK,Mobile,Direct,Beauty,6,4.37,0,0,0.0
31,2023-01-23,Germany,Tablet,Email,Fashion,5,6.0,0,0,0.0
32,2023-01-16,UK,Mobile,Paid Ads,Books,3,7.51,1,1,8.85
33,2024-11-21,Canada,Tablet,Social Media,Books,7,8.56,0,0,0.0
34,2023-02-04,Canada,Desktop,Referral,Beauty,6,9.9,0,1,64.62
35,2024-12-29,UK,Mobile,Paid Ads,Sports,8,4.66,1,1,146.47
36,2024-06-08,Germany,Mobile,Organic Search,Electronics,7,6.78,1,0,0.0
37,2024-05-20,USA,Tablet,Paid Ads,Books,9,5.75,0,0,0.0
38,2023-08-11,Germany,Tablet,Organic Search,Beauty,9,3.12,0,1,48.76
39,2023-01-29,Germany,Tablet,Email,Sports,8,4.56,1,1,56.24
40,2024-06-14,UK,Tablet,Organic Search,Books,3,4.64,0,0,0.0
41,2023-12-27,Australia,Mobile,Direct,Sports,6,5.9,0,0,0.0
42,2023-02-27,UK,Tablet,Social Media,Electronics,3,6.14,1,0,0.0
43,2023-08-15,UK,Desktop,Paid Ads,Beauty,4,7.97,0,1,30.24
44,2023-01-12,India,Tablet,Direct,Home,4,9.05,0,0,0.0
45,2024-11-06,Canada,Mobile,Referral,Electronics,7,2.17,1,1,87.19
46,2024-07-11,Australia,Desktop,Direct,Sports,6,6.28,0,0,0.0
47,2024-01-09,Canada,Mobile,Paid Ads,Home,10,8.07,0,0,0.0
48,2024-06-01,USA,Tablet,Referral,Electronics,10,4.3,0,1,29.06
49,2023-02-03,Canada,Desktop,Email,Electronics,6,6.34,1,1,145.71
50,2024-09-15,India,Desktop,Social Media,Fashion,12,6.72,0,1,200.62
51,2023-04-16,India,Mobile,Referral,Electronics,7,5.99,0,0,0.0
52,2023-04-21,India,Tablet,Email,Electronics,3,6.81,0,0,0.0
53,2023-12-26,Canada,Mobile,Paid Ads,Books,9,5.53,0,0,0.0
54,2024-06-07,Germany,Tablet,Paid Ads,Home,5,5.85,1,1,121.0
55,2023-09-10,Canada,Tablet,Email,Fashion,8,4.76,0,0,0.0
56,2023-01-03,Canada,Tablet,Direct,Fashion,6,4.38,0,0,0.0
57,2023-09-30,Australia,Desktop,Email,Books,5,4.19,1,1,30.95
58,2023-02-03,Australia,Desktop,Email,Sports,8,5.99,0,0,0.0
59,2024-01-12,Germany,Mobile,Paid Ads,Fashion,3,4.7,0,0,0.0
60,2024-08-29,India,Desktop,Organic Search,Sports,3,5.03,0,0,0.0
61,2023-08-11,Canada,Mobile,Referral,Fashion,4,5.98,1,1,92.8
62,2024-12-15,India,Mobile,Direct,Books,6,2.74,0,0,0.0
63,2023-11-16,India,Mobile,Organic Search,Electronics,6,6.1,0,0,0.0
64,2024-10-11,UK,Mobile,Referral,Fashion,9,7.15,1,1,56.72
65,2024-01-11,UK,Tablet,Email,Fashion,6,7.16,1,1,95.79
66,2023-06-14,Canada,Mobile,Direct,Sports,9,2.26,1,0,0.0
67,2024-10-26,Canada,Desktop,Paid Ads,Beauty,4,5.3,0,0,0.0
68,2023-07-17,Germany,Mobile,Organic Search,Electronics,8,5.03,0,0,0.0
69,2023-10-16,Australia,Desktop,Social Media,Beauty,5,6.81,1,0,0.0
